county_fips,county,state_fips,full_fips,pct_no_vehicle,avg_commute_time,pct_broadband,poverty_rate,unemployment_rate,employment_growth,licensing_burden_index,ban_the_box_score,fair_chance_score
001,Alamance,37,37001,14.754294742351547,22.52885397712571,127.096144057817,24.26824534109886,7.3153713777944915,3.0234879227898084,65,75,61.242191686970436
003,Alexander,37,37003,15.893300823490723,29.992676930102036,2431.5888056906006,18.473449843762207,5.560376995049109,5.821822868221407,65,75,54.429521323798916
005,Alleghany,37,37005,6.674181698251043,32.36960595598954,117.0200649636548,19.16607261936145,5.940422325840961,-2.119754258645394,65,75,89.53206180726662
007,Anson,37,37007,22.976827983810796,29.897971390836837,4181.816609007503,14.83049001502831,6.018002305161501,0.6745690393194907,65,75,82.29599453323954
009,Ashe,37,37009,11.178223179480444,20.871715265593693,182.6282438292687,16.448265697356938,3.106411112681109,1.045177993499279,65,75,59.918852878999765
011,Avery,37,37011,13.113234227265377,18.701601994197258,182.5607720741671,24.566855101279625,7.83522322089827,-0.4582470504389957,65,75,62.26287418241905
013,Beaufort,37,37013,40.27011754503594,33.49051115249851,165.9889633509875,23.075384414198457,5.3241511021670505,-0.2240024380037271,65,75,77.10194064867639
015,Bertie,37,37015,10.972282132933314,33.07506386926693,118.26408748611881,10.463634281578251,7.236528701322647,0.1733854887763706,65,75,80.53294716004615
017,Bladen,37,37017,14.312758794199986,18.25847679053721,283.52922284400603,12.763519731508909,6.43746596644613,-2.21272413667125,65,75,78.64637091563316
019,Brunswick,37,37019,10.554136806866667,25.167863056384306,330.31137405608456,24.694136321333538,2.7590338052226544,1.5612010536466165,65,75,85.41811961171933
021,Buncombe,37,37021,6.034862003068901,30.27238613713195,86.09997478642669,21.385611283256253,7.744500390921398,3.605909186377075,65,75,64.0687290142549
023,Burke,37,37023,9.165749979041498,20.8134950602066,644.9924032248408,16.674643766514762,7.059563074019667,4.023024805619974,65,75,58.818615022640955
025,Cabarrus,37,37025,8.186753642742179,19.1147759530372,122.26103708553033,24.733966059480792,3.0165863397281947,-0.900958080818627,65,75,72.71419496795927
027,Caldwell,37,37027,7.9663388772187576,25.571506630317778,735.8913578357634,23.323383037552702,7.528323057907865,0.20384790006567055,65,75,64.64168730233789
029,Camden,37,37029,61.135978719081706,21.17919643903556,91.07481412875612,10.010323740444859,7.210200835606393,5.671056602808267,65,75,57.35665409178763
031,Carteret,37,37031,6692.438887737121,34.95641529092258,80.82355019670425,9.778688717834642,5.733281465454225,5.556598582041564,65,75,54.298022763300324
033,Caswell,37,37033,30.14264254068057,20.09856600878354,114.64147188795788,23.485601924996523,4.741161542833089,4.424242925615418,65,75,65.25168951847532
035,Catawba,37,37035,15.961319751707961,25.941404097592724,566.0234959471181,20.71525630169947,4.217641682886846,5.010300339394627,65,75,84.18433323007528
037,Chatham,37,37037,5.127619836538022,31.082517007222517,87.88728076525727,12.246166067906469,2.5041662566968395,-0.05378048815805636,65,75,83.44347127533712
039,Cherokee,37,37039,18.6606636095415,25.528374307595662,110.34544795471686,8.555317761229535,6.121076749755195,-0.5272718514731443,65,75,54.365703953506646
041,Chowan,37,37041,5.635013492132733,24.62696852605633,215.34495381040966,15.27396841863212,4.844372154062882,1.4185418010394288,65,75,58.35742634500829
043,Clay,37,37043,35.50721075516163,29.146538241904505,122.4717798957392,13.68144931869669,2.701623716497502,5.392222985363231,65,75,59.60507293489146
045,Cleveland,37,37045,7.742065059656716,33.767152300059756,108.44363479809009,10.986401626605065,5.435174310246995,-0.8884669069756974,65,75,78.22554267439244
047,Columbus,37,37047,79.34585198718084,33.12426228972596,146.67521924774022,22.02558723833727,4.1272372817924134,2.1703978841376763,65,75,72.778278641447
049,Craven,37,37049,17.222189543886063,23.035951226683686,146.91212221381375,12.799162170509252,3.0356036093323038,3.9058456458014685,65,75,61.28526814290632
051,Cumberland,37,37051,28.638947203000704,25.985714884959854,3599.04759390889,9.324851268678914,4.991753561938868,5.683261343146523,65,75,80.68251375110722
053,Currituck,37,37053,14.714431494065906,25.990994012703588,200.731448219284,21.901930636136882,7.249529012473982,2.4540053475261727,65,75,59.33147527771253
055,Dare,37,37055,28.1225900198434,20.9596586331388,179.54455502146723,17.02033821799659,2.5419728230959446,1.5383959999646182,65,75,80.13240232661795
057,Davidson,37,37057,51.26074124101916,27.172628158010323,577.6033559607527,14.199378700973247,7.138489693424442,3.738529727227327,65,75,80.44717157317876
059,Davie,37,37059,15.193160462500465,28.47743804458198,231.35592050863124,10.423802995952752,4.365152498819237,-1.4120226567772647,65,75,62.29923414206333
061,Duplin,37,37061,41.457067808441145,25.181985837327275,323.2059549075665,13.197935177501133,3.315021407494034,3.892568155396157,65,75,65.68402181974915
063,Durham,37,37063,5.005264354984828,29.514387590349344,9759.064627246773,17.856873653646197,3.9868342215921793,5.836151604630468,65,75,87.37196556025167
065,Edgecombe,37,37065,21.11893053817367,34.816936619277286,98.90559872149183,24.274532418697177,7.955061683553768,5.320893328968966,65,75,78.31402852299252
067,Forsyth,37,37067,9.285751005338792,33.22193327399975,109.17553809523095,10.234656614350698,3.5576784822400134,2.7960607155969983,65,75,86.4248055459498
069,Franklin,37,37069,10.652233574191785,26.55783126679809,218.56696733021948,17.507513456353873,3.147543804516164,-2.845661829670969,65,75,86.08241969428082
071,Gaston,37,37071,18.959513294748962,29.608011416797957,75.12218858090327,18.6493330927961,4.596806900225921,0.9498381826188873,65,75,81.59157614622089
073,Gates,37,37073,6.121561996349178,32.92481597903341,203.54395638281844,23.885359927225352,4.836731796010154,4.476884469568616,65,75,71.90615949172438
075,Graham,37,37075,14.942093799067324,34.109696892734576,98.70028500855736,20.12061833425855,3.323241600960313,-2.362300460976197,65,75,59.315708107121765
077,Granville,37,37077,5.191730694149169,19.222172478013746,242.98830215560025,10.136904475709665,2.9981580272972077,-0.9603397054644063,65,75,53.06735039160075
079,Greene,37,37079,51.42325887757254,29.47166168843456,131.30603946699614,18.639153893886004,5.58873439700391,5.359891017054984,65,75,56.11687114976427
081,Guilford,37,37081,33.29673797461146,18.618965719881388,330.0382811047313,20.668047916617873,3.369256299967666,-1.6196471028575838,65,75,56.60784487799305
083,Halifax,37,37083,10.163408636694983,25.787231488123673,10757.12554301387,13.81047158031297,6.496254601500619,1.3324039667773633,65,75,79.37569185370371
085,Harnett,37,37085,16.08625031786424,25.192888336277704,409.4259475375851,15.047130872748397,6.271154671371875,2.194290242411321,65,75,57.567677200491445
087,Haywood,37,37087,17.706229064809413,29.806818173810125,131.33670890237343,21.940227847048597,7.4834741381693854,-1.7051759680388876,65,75,88.48442296597736
089,Henderson,37,37089,7.925677529307695,18.526635084404884,151.12513433041605,15.101154064278024,7.990811699703303,-1.4791142798537817,65,75,80.08384109322228
091,Hertford,37,37091,14.595229291817946,26.55334201096997,872.0467768519604,9.659814993351537,6.874438753475711,-2.030393351845587,65,75,53.78998141087339
093,Hoke,37,37093,45.007397648276395,27.52263139252035,200.0559690470109,13.580002953883529,7.083207605058039,-0.274066282562079,65,75,80.1718373001421
095,Hyde,37,37095,10.556323993231551,23.77581886512914,582.4366293062642,12.488267633875651,6.622841263576461,0.6993602932423251,65,75,67.50196504833542
097,Iredell,37,37097,4.39706520816663,31.623921753612237,359.8624092563092,18.60402807827507,4.502506879951662,4.261467847589031,65,75,83.10728383397162
099,Jackson,37,37099,10.917135874605133,24.055165753082786,472.632199822288,22.210006928229166,7.596203170406083,4.237165196083016,65,75,78.15829592798016
101,Johnston,37,37101,17.386518971747066,28.610620363230936,95.98823319404622,22.95540724213971,3.394918321788121,5.4944769358456895,65,75,88.11774644533736
103,Jones,37,37103,37.44302741555887,28.941244127582834,226.9965178152967,24.241149548680077,5.1863289111717,-2.721989923005947,65,75,58.08207274123724
105,Lee,37,37105,8.416486926945431,19.147322861205712,144.18160069465466,13.261147761634701,3.2625083586030827,5.548711455023124,65,75,65.37042873651028
107,Lenoir,37,37107,9.408884386408916,31.49472678084484,389.3513435289751,19.262894431949068,5.70075951786587,-0.6439089686248711,65,75,71.07723663502642
109,Lincoln,37,37109,9.991258224839328,25.66147934905385,159.2700602219068,22.35665547244104,5.180686418281557,5.987580545865434,65,75,68.87843238214244
111,McDowell,37,37111,6.073136863861547,27.501075289572384,196.72617815201826,19.90969233913939,4.199610946597894,2.6801612619924438,65,75,54.71073088268087
113,Macon,37,37113,11.106502345448858,34.357901318226894,80.67900207365363,20.37355235211828,3.8068915690808094,4.829856986915438,65,75,50.64681078921544
115,Madison,37,37115,4.8418230348615126,24.200102520628814,323.0110119898645,14.72825114384191,4.3124190198506565,2.22450948496932,65,75,80.35356082172328
117,Martin,37,37117,83.32004104739231,26.501568906748318,324.7110286885078,13.078840405831821,6.904442988606044,0.5782816572815577,65,75,63.26370203136554
119,Mecklenburg,37,37119,9.67809243529372,18.90113271859485,199.45608104684266,18.493740798255686,4.540822766273697,4.162533161337964,65,75,70.63679533887864
121,Mitchell,37,37121,76.67939347377984,23.396584329631022,1310.2818132024315,19.458097858744146,4.279098898954063,4.258571048517087,65,75,69.53324796868986
123,Montgomery,37,37123,21.87904768667678,28.16186933163938,89.74961799136162,20.254723773196822,5.349916363523711,4.392355738811968,65,75,73.40511015177988
125,Moore,37,37125,6.301472732969374,23.392781572823502,220.98878030622848,23.045389094771245,5.06206247899477,-0.37931793538892267,65,75,74.08150739003293
127,Nash,37,37127,10.087634695959839,19.320303387955246,321.62581485345856,13.195362464312993,6.784753664426195,1.5884370152561509,65,75,86.94713425015593
129,New Hanover,37,37129,15.426831779702821,22.68565179704384,3235.6269183969116,24.460613958111246,3.4030360546689153,1.5628335647943166,65,75,83.2328640925133
131,Northampton,37,37131,20.512385941819105,33.70888827327779,197.18764349649206,14.457277099943852,3.1643602102176067,-1.823282418930171,65,75,78.77045174345207
133,Onslow,37,37133,21.17290564624879,18.738506039724996,949.7538960486271,14.53733226597781,7.477764211652231,1.2829777156866387,65,75,85.8141788292196
135,Orange,37,37135,16.42563829015992,23.641836872889108,97.712358775834,9.623160539656547,6.587890044127835,-1.3026004871764463,65,75,84.38224582738673
137,Pamlico,37,37137,17.48318651341287,30.740854554224,1120.5431173281288,15.525239339755126,4.219674924652235,4.0589325344115785,65,75,53.72515236956435
139,Pasquotank,37,37139,14.216507994001876,33.30861827270267,1401.6288919722142,16.347467300173726,4.258435390883083,3.777755420314456,65,75,79.39609515040607
141,Pender,37,37141,9.48034012617412,28.334019832959786,110.15702647463313,17.356520552358802,6.604374323831556,2.8645824193888707,65,75,61.05040965690012
143,Perquimans,37,37143,20.702706960415128,31.143439286187323,6383.696395788199,14.248343616201648,7.885977975228949,0.8645985940743204,65,75,78.08824467071682
145,Person,37,37145,18.998692405909683,20.050026547773196,171.20022158181493,24.60144423496555,3.6332723584097106,0.6342306648585598,65,75,69.80221026066697
147,Pitt,37,37147,28.680345795606062,22.167200625873942,98.92441323075364,10.979399522914502,7.967332741188117,0.5566617866340677,65,75,73.941697489673
149,Polk,37,37149,4.724691632436214,21.35011133559783,249.20956142356823,18.254803253729172,4.491140162852764,0.8113503364680255,65,75,56.07296573827801
151,Randolph,37,37151,21.61733381883851,24.76090500714708,419.3470295494301,11.650746946607867,7.5646935661863415,0.5290255627614515,65,75,80.24565754913698
153,Richmond,37,37153,29.93073354187215,32.70209612935326,603.6148268764988,18.310621487823667,7.677471209921027,-1.2878361769177324,65,75,70.90429996846927
155,Robeson,37,37155,39.45150880256208,22.255577742263505,102.73747877513473,15.242202495163813,3.3484220108986023,2.301373563818717,65,75,65.883602315286
157,Rockingham,37,37157,7.4027390169206075,34.9922099446323,313.20267187432546,19.088593608439144,5.7284707902335015,-0.6609418147202959,65,75,76.23947373818761
159,Rowan,37,37159,83.95793873846907,29.78643421108319,74.64517962354478,19.4084343776021,7.295895979003189,-2.6909638380063408,65,75,52.87016214316169
161,Rutherford,37,37161,4.254106637970854,27.118226333485893,104.11693916729521,21.477632731679062,5.022947288881728,-2.618211944871046,65,75,69.00619814177358
163,Sampson,37,37163,5.17931713208726,23.57736179073886,465.90947783820775,22.935336785508476,6.096054751741354,-2.477025778108255,65,75,77.44160738030077
165,Scotland,37,37165,9.589826603935677,20.635359455999144,84.86504556413227,11.818537244741375,6.824765275827252,-0.11252930494552338,65,75,79.06478218978923
167,Stanly,37,37167,21.430292201452396,18.862508604797434,132.15471608819655,17.25257800479132,4.991977852577114,5.650363959707002,65,75,64.83115678820542
169,Stokes,37,37169,11.696299210448105,18.584675853638114,225.7961995159612,24.27565585640137,6.479300107700046,1.6103631555858522,65,75,56.732899788021136
171,Surry,37,37171,29.97458052339626,21.955838568170623,125.09855961314575,23.73470525713084,4.132412689264962,2.133425179934277,65,75,60.256858454907345
173,Swain,37,37173,31.939495167576602,28.80172756336639,1202.7678072783358,15.337513094202087,4.507822420671712,4.474618449628213,65,75,75.463832877413
175,Transylvania,37,37175,92.92359606563714,24.87633940847448,105.32781702029033,21.19534232387632,5.110571877366709,-2.317682560134334,65,75,59.96006956130339
177,Tyrrell,37,37177,7.811740871959044,31.069533474612037,113.44610340185173,23.815506758284684,6.4184120838836005,0.1849110716097364,65,75,63.77732691296498
179,Union,37,37179,664.5868645856802,29.094056585634547,309.7640951445459,14.744266976716474,4.921834175410567,-2.6058482216365264,65,75,87.50896776828507
181,Vance,37,37181,5.8077284234497135,20.58073891701962,126.01268079500016,18.839849199857778,6.769272278551701,0.5281643354551542,65,75,82.22781297610999
183,Wake,37,37183,19.622957127786563,20.49434326036881,86.38080573633731,9.144634543461033,2.6117590153493224,3.0532627702966773,65,75,82.48797259386545
185,Warren,37,37185,266.5714434138267,27.026979787132795,97.33020720886249,12.537374362802314,5.176266467206437,2.0447646826328203,65,75,80.21425996398361
187,Washington,37,37187,39.19501206324989,21.67487377819414,99.20692840688842,13.700682690126271,4.357860474863065,3.323809684414254,65,75,61.772114901741354
189,Watauga,37,37189,14.778052618789564,22.38252352286061,142.2162750098338,19.362482521911502,4.402376765265715,1.2027645350226237,65,75,52.20555523862015
191,Wayne,37,37191,39.35607512437178,19.348625665930786,225.9930904974337,17.464218350406266,5.402434591196236,-1.5285213602558794,65,75,66.94907272422716
193,Wilkes,37,37193,13.334265847381468,20.438812166541016,106.6447397006821,10.784348983047806,7.700362943508043,-0.9151823946738493,65,75,89.08042356748211
195,Wilson,37,37195,6.923669568076791,24.22602586719598,145.60830351619893,16.232671423490377,7.636853787863251,5.571991115904833,65,75,50.574081127038525
197,Yadkin,37,37197,15.125814672786028,32.532970883032505,732.8868367848723,22.620394578218175,2.8830180442376463,0.6419002198940049,65,75,81.14027242831102
199,Yancey,37,37199,5.225298869536337,28.515303750114747,88.22817822603275,17.5138538811591,7.323852091671576,-0.5655864223464415,65,75,68.95698133261864
